,holiday,temp,rain_1h,snow_1h,clouds_all,traffic_volume,weekday,hour,wmain_clear,wmain_clouds,wmain_drizzle,wmain_fog,wmain_haze,wmain_mist,wmain_rain,wmain_smoke,wmain_snow,wmain_squall,wmain_thunderstorm
0,0,288.28,0,0,40,5545,1,9,0,1,0,0,0,0,0,0,0,0,0
1,0,289.36,0,0,75,4516,1,10,0,1,0,0,0,0,0,0,0,0,0
2,0,289.58,0,0,90,4767,1,11,0,1,0,0,0,0,0,0,0,0,0
3,0,290.13,0,0,90,5026,1,12,0,1,0,0,0,0,0,0,0,0,0
4,0,291.14,0,0,75,4918,1,13,0,1,0,0,0,0,0,0,0,0,0
5,0,291.72,0,0,1,5181,1,14,1,0,0,0,0,0,0,0,0,0,0
6,0,293.17,0,0,1,5584,1,15,1,0,0,0,0,0,0,0,0,0,0
7,0,293.86,0,0,1,6015,1,16,1,0,0,0,0,0,0,0,0,0,0
8,0,294.14,0,0,20,5791,1,17,0,1,0,0,0,0,0,0,0,0,0
9,0,293.1,0,0,20,4770,1,18,0,1,0,0,0,0,0,0,0,0,0
10,0,290.97,0,0,20,3539,1,19,0,1,0,0,0,0,0,0,0,0,0
11,0,289.38,0,0,1,2784,1,20,1,0,0,0,0,0,0,0,0,0,0
12,0,288.61,0,0,1,2361,1,21,1,0,0,0,0,0,0,0,0,0,0
13,0,287.16,0,0,1,1529,1,22,1,0,0,0,0,0,0,0,0,0,0
14,0,285.45,0,0,1,963,1,23,1,0,0,0,0,0,0,0,0,0,0
15,0,284.63,0,0,1,506,2,0,1,0,0,0,0,0,0,0,0,0,0
16,0,283.47,0,0,1,321,2,1,1,0,0,0,0,0,0,0,0,0,0
17,0,281.18,0,0,1,273,2,2,1,0,0,0,0,0,0,0,0,0,0
18,0,281.09,0,0,1,367,2,3,1,0,0,0,0,0,0,0,0,0,0
19,0,279.53,0,0,1,814,2,4,1,0,0,0,0,0,0,0,0,0,0
20,0,278.62,0,0,1,2718,2,5,1,0,0,0,0,0,0,0,0,0,0
21,0,278.23,0,0,1,5673,2,6,1,0,0,0,0,0,0,0,0,0,0
22,0,278.12,0,0,1,6511,2,8,1,0,0,0,0,0,0,0,0,0,0
23,0,282.48,0,0,1,5471,2,9,1,0,0,0,0,0,0,0,0,0,0
24,0,291.97,0,0,1,5097,2,12,1,0,0,0,0,0,0,0,0,0,0
25,0,293.23,0,0,1,4887,2,13,1,0,0,0,0,0,0,0,0,0,0
26,0,294.31,0,0,1,5337,2,14,1,0,0,0,0,0,0,0,0,0,0
27,0,295.17,0,0,1,5692,2,15,1,0,0,0,0,0,0,0,0,0,0
28,0,295.13,0,0,1,6137,2,16,1,0,0,0,0,0,0,0,0,0,0
29,0,293.66,0,0,20,4623,2,18,0,1,0,0,0,0,0,0,0,0,0
30,0,290.65,0,0,20,3591,2,19,0,1,0,0,0,0,0,0,0,0,0
31,0,288.19,0,0,20,2898,2,20,0,1,0,0,0,0,0,0,0,0,0
32,0,287.1,0,0,1,2637,2,21,1,0,0,0,0,0,0,0,0,0,0
33,0,286.25,0,0,1,1777,2,22,1,0,0,0,0,0,0,0,0,0,0
34,0,285.26,0,0,1,1015,2,23,1,0,0,0,0,0,0,0,0,0,0
35,0,284.55,0,0,1,598,3,0,1,0,0,0,0,0,0,0,0,0,0
36,0,283.47,0,0,1,369,3,1,1,0,0,0,0,0,0,0,0,0,0
37,0,283.17,0,0,1,312,3,2,1,0,0,0,0,0,0,0,0,0,0
38,0,282.04,0,0,1,367,3,3,1,0,0,0,0,0,0,0,0,0,0
39,0,281.69,0,0,1,835,3,4,1,0,0,0,0,0,0,0,0,0,0
40,0,281.32,0,0,1,2726,3,5,1,0,0,0,0,0,0,0,0,0,0
41,0,280.74,0,0,1,5689,3,6,1,0,0,0,0,0,0,0,0,0,0
